company_name,domain,funding_usd,status,sector,shutdown_date,notes
Olive AI,olive.com,$902M,shutdown,healthtech,2023-10,Healthcare AI automation; laid off 450+ then shut down; Source: curated
Convoy,convoy.com,$3.8B,shutdown,logistics,2023-10,Digital freight brokerage; shut down despite $3.8B raised; Source: curated
Veev,veev.com,$647M,bankrupt,proptech,2024-01,Prefab home builder; filed Chapter 7 bankruptcy; Source: curated
Bird,bird.co,$275M,bankrupt,logistics,2023-12,Electric scooter company; filed Chapter 11; Source: curated
IronNet Cybersecurity,ironnet.com,$100M,bankrupt,saas,2023-09,Cybersecurity firm; filed Chapter 7; Source: curated
Plastiq,plastiq.com,$226M,bankrupt,fintech,2023-05,Bill payment platform; filed Chapter 7; Source: curated
Zume,zumepizza.com,$445M,shutdown,food,2023-06,Robot pizza delivery pivoted to packaging; shut down; Source: curated
SimpleClosure,simpleclosure.com,$3M,shutdown,saas,2024-03,Startup shutdown service; itself shut down; Source: curated
Katerra,katerra.com,$2B,bankrupt,proptech,2023-06,Construction tech; filed Chapter 7 after $2B raised; Source: curated
Quibi,quibi.com,$1.75B,shutdown,media,2020-12,Short-form streaming; shut down after 6 months; Source: curated
Jawbone,jawbone.com,$930M,shutdown,healthtech,2017-07,Fitness tracker maker; liquidated assets; Source: curated
Solyndra,solyndra.com,$1.1B,bankrupt,cleantech,2011-09,Solar panel manufacturer; filed bankruptcy; Source: curated
Essential Products,essential.com,$330M,shutdown,saas,2020-02,Andy Rubin phone startup; ceased operations; Source: curated
Brandless,brandless.com,$292M,shutdown,ecommerce,2020-02,DTC generic goods; shut down operations; Source: curated
Fast,fast.co,$120M,shutdown,fintech,2022-04,One-click checkout; shut down after burning cash; Source: curated
Zanbazaar,zanbazaar.com,,inactive,consumer,,Community-curated catalogs for product recommendations; YC Summer 2006; Source: YC
Scoutzie,scoutzie.com,,inactive,b2b,,Scoutzie is a curated community for the best mobile designers. If…; YC Summer 2012; Source: YC
Envision Healthcare,envisionhealthcare.com,$781.3M,closed,hospitals,,Market: Hospitals; USA; Source: Crunchbase
Sangart,sangart.com,$315.9M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
